result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1231	Martins, Lucca	200	110501723	200 BK LCM	18	2:07.87	2:07.87	2019 Winter Juniors (SCY)	2016 Futures - Palo Alto	8/7/2016	Palo Alto Stanford Aquatics	PC		806	67	m
1233	Allison, Nicholas	200	132364337	200 BK LCM	17	2:07.88	2:07.88	AAAA	2018 Sectionals - Santa Clarita	7/21/2018	La Mirada Armada	CA		818	67	m
1233	Basson, Jean	200	59963799	200 BK LCM	24	2:07.88	2:07.88	2019 Summer Juniors (LCM)	2011 MI CW Pro Meet	11/16/2011	Tucson Ford Dealers Aquatics	AZ	Yes	806	67	m
1233	Corredor, Santi	200	143724216	200 BK LCM	20	2:07.88	2:07.88	AAAA	2019 Sectionals - Gainesville	7/14/2019	Gator Swim Club	FL	Yes	806	67	m
1233	Messer, Sean	200	109371818	200 BK LCM	17	2:07.88	2:07.88	2019 Winter Juniors (SCY)	2016 Sectionals - Austin	7/7/2016	Unattached	NT		818	67	m
1237	Arwood, Reid	200	121654228	200 BK LCM	17	2:07.89	2:07.89	AAAA	2017 NC AP LC Y Nationals	8/1/2017	YMCA of Western North Carolina	NC		818	67	m
1237	Trump, Trent	200	98940093	200 BK LCM	19	2:07.89	2:07.89	2019 Winter Juniors (SCY)	2015 CA Summer CA-NV Sectional	7/19/2015	Livermore Aqua Cowboys	PC		806	67	m
1239	Castro-Abrams, Kenneth	200	77853143	200 BK LCM	17	2:07.90	2:07.90	2019 Winter Juniors (SCY)	2013 U.S. Open Time Trials	7/30/2013	Marin Pirates	PC		817	67	m
1239	Davidson, Matthew	200	121655056	200 BK LCM	16	2:07.90	2:07.90	2019 Winter Juniors (SCY)	2017 NC AP LC Y Nationals	8/1/2017	Lynchburg YMCA Swim Team	VA		860	67	m
1239	Kramer, Chris	200	49213558	200 BK LCM	19	2:07.90	2:07.90	2017 US Open	2010 ConocoPhillips Nats TT	8/3/2010	Auburn University Swim Team	SE		806	67	m
1239	Lee, Nathan	200	143491702	200 BK LCM	16	2:07.90	2:07.90	2019 Winter Juniors (SCY)	2019 PN PNS Senior LC Championship	7/27/2019	Bellevue Club Swim Team	PN		860	67	m
1239	St. Francis, Theo	200	77859956	200 BK LCM	18	2:07.90	2:07.90	2019 Winter Juniors (SCY)	2013 NCSA Summer Swimming Cham	7/30/2013	North Bay Aquatics	PC		806	67	m
1239	Yoder, Jimmy	200	78109568	200 BK LCM	17	2:07.90	2:07.90	2019 Winter Juniors (SCY)	2013 GA 6th Annual Hixon Invite	6/28/2013	Stingrays	GA		817	67	m
1245	Garnier, Jeff	200	67629170	200 BK LCM	18	2:07.91	2:07.91	2019 Summer Juniors (LCM)	2012 Speedo Western Section LC	7/24/2012	Foothills Swim Team	CO		806	67	m
1245	Mitchell, Luke	200	64724021	200 BK LCM	17	2:07.91	2:07.91	2019 Summer Juniors (LCM)	2012 CA TYR Fran Crippen Memorial Swim Meet	4/19/2012	Unattached	CA		817	67	m
