result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1032	Tepper, Joey	1500	142456966	1500 FR LCM	17	16:20.60	16:20.60	AAAA	2019 MA JW Summer Solstice	6/23/2019	Egg Harbor Twp Seahawks	MA		794	60	m
1033	Peterson, Adam	1500	77627350	1500 FR LCM	17	16:20.67	16:20.67	AAAA	2013 CA MVN Summer JO's	7/24/2013	Boulder City Henderson Swim Team	CA		794	60	m
1034	Bretzmann, Peter	1500	143856296	1500 FR LCM	16	16:20.74	16:20.74	AAAA	2019 Summer Junior Nats	8/6/2019	North Carolina Aquatic Club	NC		811	60	m
1035	Edwards, Jonathan	1500	143745105	1500 FR LCM	16	16:20.78	16:20.78	AAAA	2019 FL TYR ISCA Summer Senior Ch	7/30/2019	Naval Academy Aquatic Club	MD		811	60	m
1035	Magazine, Aaron	1500	132882597	1500 FR LCM	20	16:20.78	16:20.78	AAAA	2018 Futures - Richmond	8/2/2018	Towson University Swimming	MD		793	60	m
1035	Randhawa, Kabir	1500	110489168	1500 FR LCM	14	16:20.78	16:20.78	2019 Futures	2016 NI - LC Senior Zone Championship Me	8/4/2016	Team Suffolk	MR		910	60	m
1038	Thomas, Michael	1500	47563817	1500 FR LCM	18	16:20.80	16:20.80	2019 Winter Juniors (SCY)	2010 MD NBAC Long Course Champion	6/11/2010	North Baltimore Aquatic Club	MD		793	60	m
1039	Bell, Dane	1500	77953710	1500 FR LCM	16	16:20.82	16:20.82	2019 Futures	2013 CC Western Zone Senior Championships	7/31/2013	Swim Pasadena	CA		811	60	m
1040	Capizzo, Alexander	1500	110538715	1500 FR LCM	15	16:20.89	16:20.89	2019 Futures	2016 IN NCSA Summer Swimming Cham	8/13/2016	Lakers Aquatic Club	MI		840	60	m
1041	Tran, Myles	1500	143774468	1500 FR LCM	15	16:20.92	16:20.92	AAAA	2019 Futures - Mt Hood	8/1/2019	La Mirada Armada	CA		840	60	m
1042	Ciocco, Sam	1500	103139874	1500 FR LCM	21	16:20.93	16:20.93	AAAA	Navy LC Invite	12/11/2015	Unattached	MD		793	60	m
1042	Henry, Danny	1500	143097837	1500 FR LCM	17	16:20.93	16:20.93	AAAA	2019 Sectionals - Austin	7/14/2019	Longhorn Aquatics	ST		793	60	m
1044	Loveless, Jack	1500	110441193	1500 FR LCM	16	16:20.94	16:20.94	2019 Futures	2016 Futures - College Park	8/4/2016	Badger Swim Club,Inc.	MR		811	60	m
1045	Norton, William	1500	63345341	1500 FR LCM	22	16:20.99	16:20.99	AAAA	2012 ECAC LCM Invite	2/22/2012	Unattached	MD		793	60	m
1046	McIntire, Kas	1500	143867504	1500 FR LCM	18	16:21.02	16:21.02	AAAA	2019 NCSA Summer Champs	8/10/2019	Ensworth Aquatics	SE		793	60	m
1047	Monahan, Sean	1500	77591615	1500 FR LCM	20	16:21.03	16:21.03	AAAA	2013 OH Central Zone Section 3 	7/22/2013	Ohio State Swim Club	OH		792	60	m
1048	Reynolds, Michael	1500	49096114	1500 FR LCM	17	16:21.06	16:21.06	2019 Winter Juniors (SCY)	2010 GA Southern Zone Championship	7/27/2010	Dynamo Swim Club	GA		793	60	m
1048	Sheppard, Aj	1500	143868782	1500 FR LCM	17	16:21.06	16:21.06	AAAA	2019 NCSA Summer Champs	8/10/2019	Clovis Swim Club	CC		793	60	m
1050	Aguilar-Fernandez, Rudy	1500	88483983	1500 FR LCM	15	16:21.07	16:21.07	2019 Futures	2014 MI  Open LCM State Champi	8/1/2014	Kingfish Aquatic Club of Waterford	MI		839	60	m
1050	Chao, Kevin	1500	108222036	1500 FR LCM	17	16:21.07	16:21.07	AAAA	2016 CA SPEEDO GRAND CHALLENGE	5/27/2016	Irvine Novaquatics	CA		793	60	m
1050	Klutey, Andrew	1500	49284346	1500 FR LCM	17	16:21.07	16:21.07	2019 Winter Juniors (SCY)	2010 Summer Junior Nats	8/9/2010	Ridgefield Aquatic Club	CT		793	60	m
1053	Dallavalle, Christopher	1500	132284822	1500 FR LCM	17	16:21.09	16:21.09	AAAA	2018 VA LC SR Championships	7/19/2018	NOVA of Virginia Aquatics, Inc	VA		793	60	m
